Section #,Station (m),MPD (mm),Latitude,Longitude
170,1690.0 to 1700.0,1.33,51.934959148547 N,0.252564019031339 W
171,1700.0 to 1710.0,1.55,51.9348985740456 N,0.252458093361823 W
172,1710.0 to 1720.0,1.94,51.9348361875 N,0.252350363888889 W
173,1720.0 to 1730.0,1.81,51.93477346875 N,0.252242519861111 W
174,1730.0 to 1740.0,1.67,51.9347126758808 N,0.252138878428184 W
175,1740.0 to 1750.0,1.70,51.9346515964444 N,0.252034812305556 W
176,1750.0 to 1760.0,1.23,51.9345904515344 N,0.251929538042328 W
177,1760.0 to 1770.0,1.24,51.9345290044444 N,0.251824757777778 W
178,1770.0 to 1780.0,1.03,51.9344666711886 N,0.251718704418605 W
179,1780.0 to 1790.0,1.48,51.9344041285859 N,0.251612613080808 W
180,1790.0 to 1800.0,1.06,51.9343421450617 N,0.251507298814815 W
181,1800.0 to 1810.0,1.17,51.9342801468116 N,0.25140129 W
182,1810.0 to 1820.0,0.78,51.9342183276329 N,0.251295977536232 W
183,1820.0 to 1830.0,0.97,51.9341574434058 N,0.251191242826087 W
184,1830.0 to 1840.0,0.65,51.934096120628 N,0.251085644492754 W
185,1840.0 to 1850.0,0.67,51.9340349019753 N,0.250978521728395 W
186,1850.0 to 1860.0,0.65,51.9339736815555 N,0.250871128518519 W
187,1860.0 to 1870.0,0.62,51.9339123568889 N,0.250764013160494 W
188,1870.0 to 1880.0,0.64,51.9338511881235 N,0.250657029234568 W
189,1880.0 to 1890.0,0.78,51.9337897761111 N,0.250550648888889 W
190,1890.0 to 1900.0,0.75,51.9337283423913 N,0.250445282125604 W
191,1900.0 to 1910.0,0.79,51.9336668941304 N,0.250338954541063 W
192,1910.0 to 1920.0,0.75,51.9336052048889 N,0.250231796148148 W
193,1920.0 to 1930.0,0.79,51.9335436937923 N,0.25012513852657 W
194,1930.0 to 1940.0,0.88,51.9334826737778 N,0.250019262666667 W
195,1940.0 to 1950.0,0.92,51.933421547679 N,0.249913571901235 W
196,1950.0 to 1960.0,1.06,51.9333596667407 N,0.249807428962963 W
197,1960.0 to 1970.0,1.41,51.9332975275062 N,0.249700928641975 W
198,1970.0 to 1980.0,1.35,51.9332364548148 N,0.249594912814815 W
199,1980.0 to 1990.0,1.31,51.9331761962802 N,0.249489259251208 W
200,1990.0 to 2000.0,0.80,51.9331153255556 N,0.249382692222222 W
201,2000.0 to 2010.0,0.83,51.933054193116 N,0.249275756135266 W
202,2010.0 to 2020.0,0.83,51.9329932727053 N,0.249169240434783 W
203,2020.0 to 2030.0,0.67,51.9329311449034 N,0.249061757922705 W
204,2030.0 to 2040.0,0.81,51.9328688822464 N,0.248954586690821 W
205,2040.0 to 2050.0,1.01,51.9328070022947 N,0.248848180628019 W
206,2050.0 to 2060.0,1.25,51.9327448371981 N,0.248741756135266 W
207,2060.0 to 2070.0,1.25,51.9326829198109 N,0.248635715035461 W
208,2070.0 to 2080.0,1.31,51.9326220211584 N,0.248530715815603 W
209,2080.0 to 2090.0,1.15,51.9325606595508 N,0.248425295248227 W
210,2090.0 to 2100.0,0.77,51.932497463286 N,0.24831660751773 W
211,2100.0 to 2110.0,0.78,51.9324426758586 N,0.248222285050505 W
212,2110.0 to 2120.0,0.71,51.9323762254167 N,0.248106427083333 W
213,2120.0 to 2130.0,0.81,51.9323152135556 N,0.247998699777778 W
214,2130.0 to 2140.0,1.20,51.932253760625 N,0.247892141527778 W
215,2140.0 to 2150.0,0.94,51.93219043875 N,0.247783889444444 W
216,2150.0 to 2160.0,0.61,51.9321266583333 N,0.247674921203704 W
217,2160.0 to 2170.0,0.93,51.9320657847619 N,0.247570683106576 W
218,2170.0 to 2180.0,1.17,51.932003502963 N,0.247464415324074 W
219,2180.0 to 2190.0,0.95,51.9319432146032 N,0.24736015031746 W
220,2190.0 to 2200.0,0.41,51.9318840979592 N,0.247256269931973 W
221,2200.0 to 2210.0,0.42,51.9318202253515 N,0.247144786213152 W
222,2210.0 to 2220.0,0.38,51.9317588461678 N,0.247040006213152 W
223,2220.0 to 2230.0,0.40,51.9316975448753 N,0.246935087709751 W
224,2230.0 to 2240.0,0.40,51.931635364195 N,0.246827348798186 W
225,2240.0 to 2250.0,0.29,51.9315726600454 N,0.246718764875283 W
226,2250.0 to 2260.0,0.27,51.9315109194331 N,0.246612036417234 W
227,2260.0 to 2270.0,0.46,51.9314498485941 N,0.246505914897959 W
228,2270.0 to 2280.0,0.48,51.9313886561778 N,0.246399847155556 W
229,2280.0 to 2290.0,0.49,51.9313283711791 N,0.246293658888889 W
230,2290.0 to 2300.0,0.37,51.9312687744444 N,0.246187854557823 W
231,2300.0 to 2310.0,0.42,51.9312064504989 N,0.246079251836735 W
232,2310.0 to 2320.0,0.43,51.9311448636508 N,0.245972015714286 W
233,2320.0 to 2330.0,0.39,51.9310830617007 N,0.245864833650794 W
234,2330.0 to 2340.0,0.46,51.9310214541778 N,0.245757856844444 W
235,2340.0 to 2350.0,0.41,51.9309596964444 N,0.245650538844444 W
236,2350.0 to 2360.0,0.34,51.9308971108 N,0.245541642 W
237,2360.0 to 2370.0,0.30,51.9308371788889 N,0.24543645 W
238,2370.0 to 2380.0,0.29,51.93077682 N,0.245330416666667 W
239,2380.0 to 2390.0,0.29,51.9307156309804 N,0.245223472679739 W
240,2390.0 to 2400.0,0.30,51.930654338 N,0.245116248333333 W
241,2400.0 to 2410.0,0.27,51.9305923398222 N,0.245007156755556 W
242,2410.0 to 2420.0,0.31,51.9305312134858 N,0.244899301285403 W
243,2420.0 to 2430.0,0.28,51.9304701618667 N,0.244791260822222 W
244,2430.0 to 2440.0,0.35,51.9304097814 N,0.244684192155556 W
245,2440.0 to 2450.0,0.68,51.9303496257333 N,0.244577321422222 W
246,2450.0 to 2460.0,0.97,51.9302888440889 N,0.244468798355556 W
247,2460.0 to 2470.0,1.18,51.9302289964889 N,0.244361174044444 W
248,2470.0 to 2480.0,0.42,51.9301684093333 N,0.244251432444444 W
249,2480.0 to 2490.0,0.30,51.9301084426144 N,0.244142085359477 W
250,2490.0 to 2500.0,0.32,51.9300485961778 N,0.244032372533333 W
251,2500.0 to 2510.0,0.35,51.9299875911778 N,0.243919780777778 W
252,2510.0 to 2520.0,0.34,51.9299290471111 N,0.243811083555556 W
253,2520.0 to 2530.0,0.32,51.9298685777778 N,0.243698932888889 W
254,2530.0 to 2540.0,0.25,51.9298093112 N,0.243591529866667 W
255,2540.0 to 2550.0,0.25,51.9297500755556 N,0.243484222488889 W
256,2550.0 to 2560.0,0.24,51.9296903353968 N,0.243374023015873 W
257,2560.0 to 2570.0,0.25,51.9296319236508 N,0.243266231111111 W
258,2570.0 to 2580.0,0.27,51.9295734797732 N,0.243157723764172 W
259,2580.0 to 2590.0,0.30,51.9295141007936 N,0.243048281111111 W
260,2590.0 to 2600.0,0.37,51.9294546837415 N,0.242938442426304 W
261,2600.0 to 2610.0,0.48,51.9293961066667 N,0.242829281851852 W
262,2610.0 to 2620.0,0.47,51.9293374576389 N,0.242720278680556 W
263,2620.0 to 2630.0,0.49,51.9292783456974 N,0.24260922643026 W
264,2630.0 to 2640.0,0.56,51.9292193416667 N,0.242498107777778 W
265,2640.0 to 2650.0,0.54,51.929160415625 N,0.242386416828704 W
266,2650.0 to 2660.0,0.49,51.9291025377069 N,0.242276728439716 W
267,2660.0 to 2670.0,0.39,51.929044930463 N,0.242167325833333 W
268,2670.0 to 2680.0,0.41,51.9289875112963 N,0.242056692407407 W
269,2680.0 to 2690.0,0.47,51.9289304935828 N,0.241946062970522 W
270,2690.0 to 2700.0,0.44,51.9288728361111 N,0.241834024722222 W
271,2700.0 to 2710.0,0.50,51.9288153175926 N,0.241722573518519 W
272,2710.0 to 2720.0,0.50,51.9287578046296 N,0.241610764375 W
273,2720.0 to 2730.0,0.64,51.9287005511111 N,0.241498150833333 W
274,2730.0 to 2740.0,0.41,51.9286434712018 N,0.2413849038322 W
275,2740.0 to 2750.0,0.41,51.9285866932407 N,0.241271638425926 W
276,2750.0 to 2760.0,0.41,51.9285305098818 N,0.241157643262411 W
277,2760.0 to 2770.0,0.49,51.9284724338771 N,0.241038336099291 W
278,2770.0 to 2780.0,0.47,51.9284177834028 N,0.240924348263889 W
279,2780.0 to 2790.0,0.38,51.9283639053472 N,0.240810265486111 W
280,2790.0 to 2800.0,0.40,51.9283109986806 N,0.240696580949074 W
281,2800.0 to 2810.0,0.40,51.9282575060417 N,0.240579519861111 W
282,2810.0 to 2820.0,0.43,51.9282030739352 N,0.240459032986111 W
283,2820.0 to 2830.0,0.43,51.9281494102778 N,0.240339479953704 W
284,2830.0 to 2840.0,0.39,51.9280967655556 N,0.240220367916667 W
285,2840.0 to 2850.0,0.37,51.9280449675177 N,0.240101405791962 W
286,2850.0 to 2860.0,0.37,51.9279935856944 N,0.239981784583333 W
287,2860.0 to 2870.0,0.40,51.9279432255555 N,0.23986112125 W
288,2870.0 to 2880.0,0.38,51.9278947117258 N,0.239741403404255 W
289,2880.0 to 2890.0,0.45,51.9278466463889 N,0.239621020023148 W
290,2890.0 to 2900.0,0.40,51.9277977488889 N,0.239497255185185 W
291,2900.0 to 2910.0,0.39,51.9277494040189 N,0.239372989739953 W
292,2910.0 to 2920.0,0.48,51.9277009990741 N,0.239247242037037 W
293,2920.0 to 2930.0,0.51,51.9276561276389 N,0.239129297847222 W
294,2930.0 to 2940.0,0.71,51.9276070030093 N,0.238997007314815 W
295,2940.0 to 2950.0,0.41,51.9275618970833 N,0.238871260925926 W
296,2950.0 to 2960.0,0.38,51.9275176647454 N,0.23874461525463 W
297,2960.0 to 2970.0,0.46,51.9274742280556 N,0.238617805208333 W
298,2970.0 to 2980.0,0.60,51.9274315797222 N,0.238490141481482 W
299,2980.0 to 2990.0,0.77,51.9273897530556 N,0.238361303611111 W
300,2990.0 to 3000.0,0.85,51.92734882513 N,0.238231949550827 W
301,3000.0 to 3010.0,0.71,51.9273088943056 N,0.238101259236111 W
302,3010.0 to 3020.0,0.50,51.9272703155556 N,0.237969781111111 W
303,3020.0 to 3030.0,0.53,51.9272328861111 N,0.237837289613527 W
304,3030.0 to 3040.0,0.77,51.9271968053623 N,0.237704800531401 W
305,3040.0 to 3050.0,0.64,51.927162189227 N,0.237572432560386 W
306,3050.0 to 3060.0,0.64,51.9271284206173 N,0.237438157160494 W
307,3060.0 to 3070.0,0.65,51.9270958304348 N,0.237303478695652 W
308,3070.0 to 3080.0,0.64,51.9270643982222 N,0.237167882 W
309,3080.0 to 3090.0,1.12,51.9270332670123 N,0.237029993012346 W
310,3090.0 to 3100.0,0.92,51.9270035138636 N,0.236891821439394 W
311,3100.0 to 3110.0,0.62,51.9269755866667 N,0.236754387222222 W
312,3110.0 to 3120.0,0.63,51.9269478511111 N,0.236611396666667 W
313,3120.0 to 3130.0,0.65,51.9269229912145 N,0.236479378242894 W
314,3130.0 to 3140.0,0.39,51.9268974661905 N,0.236338138201058 W
315,3140.0 to 3150.0,0.43,51.9268732359948 N,0.236197071602067 W
316,3150.0 to 3160.0,0.62,51.9268498946032 N,0.236056214444444 W
317,3160.0 to 3170.0,0.56,51.9268274716667 N,0.235908573148148 W
318,3170.0 to 3180.0,0.51,51.9268076057995 N,0.235766982330623 W
319,3180.0 to 3190.0,0.59,51.9267889307937 N,0.235621400634921 W
320,3190.0 to 3200.0,0.62,51.9267727132791 N,0.235485024850949 W
321,3200.0 to 3210.0,0.77,51.9267559183469 N,0.235333804444444 W
322,3210.0 to 3220.0,0.64,51.9267411457936 N,0.235190779761905 W
323,3220.0 to 3230.0,0.52,51.9267275003175 N,0.235047167460317 W
324,3230.0 to 3240.0,0.58,51.9267144576455 N,0.234896802645503 W
325,3240.0 to 3250.0,0.41,51.92670351354 N,0.234759503255814 W
326,3250.0 to 3260.0,0.52,51.9266929067196 N,0.234613814338624 W
327,3260.0 to 3270.0,0.48,51.9266837345238 N,0.234467602936508 W
328,3270.0 to 3280.0,0.34,51.9266773272222 N,0.23432984 W
329,3280.0 to 3290.0,0.39,51.9266715294974 N,0.234178591507936 W
330,3290.0 to 3300.0,0.71,51.9266668955556 N,0.234034109232804 W
331,3300.0 to 3310.0,0.72,51.9266635007497 N,0.233884476974565 W
332,3310.0 to 3320.0,1.03,51.9266614426984 N,0.233743922380952 W
333,3320.0 to 3330.0,0.95,51.9266604311111 N,0.233596499457364 W
334,3330.0 to 3340.0,1.41,51.926660109354 N,0.233450687777778 W
335,3340.0 to 3350.0,1.17,51.9266605680103 N,0.233299761912145 W
336,3350.0 to 3360.0,0.96,51.9266625060724 N,0.23315908503876 W
337,3360.0 to 3370.0,0.68,51.9266660615504 N,0.233011840374677 W
338,3370.0 to 3380.0,0.59,51.9266707374419 N,0.232864588501292 W
339,3380.0 to 3390.0,0.69,51.9266770214987 N,0.232717829638243 W
340,3390.0 to 3400.0,0.78,51.9266846203101 N,0.23257134129199 W
341,3400.0 to 3410.0,0.66,51.9266937972868 N,0.232425826821705 W
342,3410.0 to 3420.0,0.62,51.9267041324031 N,0.232280285736434 W
343,3420.0 to 3430.0,0.60,51.9267156065116 N,0.232135679483204 W
344,3430.0 to 3440.0,0.79,51.9267281518088 N,0.231991142273902 W
345,3440.0 to 3450.0,0.88,51.9267417650904 N,0.231846750594315 W
346,3450.0 to 3460.0,0.86,51.9267564788372 N,0.231702836330749 W
347,3460.0 to 3470.0,0.73,51.9267717286869 N,0.231559478207071 W
348,3470.0 to 3480.0,0.45,51.9267880574074 N,0.231416837111111 W
349,3480.0 to 3490.0,0.59,51.9268063557982 N,0.231274147024266 W
350,3490.0 to 3500.0,0.35,51.9268259060353 N,0.231130566085859 W
351,3500.0 to 3510.0,0.45,51.9268462321212 N,0.230988783080808 W
352,3510.0 to 3520.0,0.41,51.9268676042172 N,0.230848829217172 W
353,3520.0 to 3530.0,0.34,51.9268894985859 N,0.230707641616162 W
354,3530.0 to 3540.0,0.41,51.926911663037 N,0.230567576296296 W
355,3540.0 to 3550.0,0.36,51.9269345875556 N,0.230427431185185 W
356,3550.0 to 3560.0,0.31,51.9269582881481 N,0.230287168148148 W
357,3560.0 to 3570.0,0.26,51.9269832185393 N,0.23014286937578 W
358,3570.0 to 3580.0,0.26,51.9270070674074 N,0.230007048888889 W
359,3580.0 to 3590.0,0.24,51.9270319749354 N,0.229866297390181 W
360,3590.0 to 3600.0,0.26,51.927056698 N,0.229724270888889 W
361,3600.0 to 3610.0,0.30,51.9270798855556 N,0.229589916521739 W
362,3610.0 to 3620.0,0.31,51.9271055916543 N,0.229441380123457 W
363,3620.0 to 3630.0,0.29,51.9271297166667 N,0.229301141111111 W
364,3630.0 to 3640.0,0.29,51.927154230314 N,0.229161771400966 W
365,3640.0 to 3650.0,0.24,51.9271789883333 N,0.229022757222222 W
366,3650.0 to 3660.0,0.28,51.9272038142029 N,0.228883902608696 W
367,3660.0 to 3670.0,0.30,51.9272288150725 N,0.228744513140097 W
368,3670.0 to 3680.0,0.36,51.9272537945627 N,0.228605164586288 W
369,3680.0 to 3690.0,0.30,51.9272790524114 N,0.228462494160757 W
370,3690.0 to 3700.0,0.34,51.9273034833806 N,0.228322858770686 W
371,3700.0 to 3710.0,0.34,51.9273282324306 N,0.228183326851852 W
372,3710.0 to 3720.0,0.45,51.9273530004795 N,0.228048017578947 W
